Wavelenght,S1,S2
190,107.681,118.399
190.5,108.616,118.263
191,109.785,118.503
191.5,110.801,118.549
192,109.697,118.993
192.5,109.791,119.34
193,109.716,119.401
193.5,108.853,119.763
194,109.289,120.241
194.5,111.021,120.636
195,112.322,121.084
195.5,112.61,121.655
196,112.8,121.917
196.5,112.361,122.349
197,112.159,122.876
197.5,112.667,123.111
198,112.525,123.038
198.5,111.78,122.82
199,112.733,122.556
199.5,113.664,122.196
200,113.525,121.709
200.5,112.917,121.054
201,111.609,120.257
201.5,109.993,119.369
202,109.972,118.386
202.5,109.853,117.298
203,108.566,116.253
203.5,107.853,115.15
204,108.208,113.975
204.5,107.361,112.77
205,105.984,111.452
205.5,104.71,109.823
206,102.666,108.12
206.5,100.727,106.339
207,99.469,104.529
207.5,97.579,102.915
208,95.278,101.322
208.5,93.95,99.706
209,92.354,97.624
209.5,90.121,95.567
210,88.511,93.627
210.5,86.796,91.441
211,84.707,89.623
211.5,82.952,87.622
212,81.601,85.944
212.5,79.88,84.469
213,78.425,83.26
213.5,77.195,82.06
214,75.959,80.727
214.5,75.026,79.292
215,74.027,78.208
215.5,72.697,76.996
216,71.663,75.987
216.5,70.594,74.9
217,69.883,73.997
217.5,69.138,73.162
218,68.399,72.416
218.5,67.489,71.595
219,66.697,70.666
219.5,65.766,69.732
220,64.846,69.005
220.5,63.999,68.291
221,63.222,67.667
221.5,62.466,67.041
222,62.124,66.408
222.5,61.805,65.695
223,61.353,64.963
223.5,60.857,64.301
224,60.405,63.522
224.5,59.743,62.931
225,59.02,62.4
225.5,58.496,61.745
226,57.813,61.029
226.5,57.27,60.234
227,56.699,59.532
227.5,56.131,58.902
228,55.56,58.435
228.5,55.091,58.029
229,54.712,57.751
229.5,54.303,57.492
230,53.941,57.186
230.5,53.631,56.723
231,53.29,56.167
231.5,52.855,55.5
232,52.314,54.929
232.5,51.723,54.357
233,51.019,53.802
233.5,50.318,53.219
234,49.661,52.641
234.5,49.081,52.047
235,48.52,51.509
235.5,48.014,50.964
236,47.549,50.434
236.5,47.032,49.852
237,46.52,49.295
237.5,45.974,48.698
238,45.311,48.086
238.5,44.742,47.447
239,44.119,46.778
239.5,43.468,46
240,42.747,45.207
240.5,42.016,44.46
241,41.387,43.762
241.5,40.671,43.142
242,40.108,42.632
242.5,39.591,42.13
243,39.079,41.735
243.5,38.713,41.306
244,38.222,40.747
244.5,37.636,39.994
245,36.943,39.202
245.5,36.258,38.491
246,35.637,37.833
246.5,34.979,37.314
247,34.508,36.884
247.5,34.058,36.517
248,33.736,36.251
248.5,33.488,35.961
249,33.113,35.587
249.5,32.746,35.082
250,32.336,34.563
250.5,31.924,34.087
251,31.564,33.647
251.5,31.158,33.249
252,30.864,32.92
252.5,30.508,32.672
253,30.294,32.514
253.5,30.077,32.419
254,29.84,32.286
254.5,29.718,32.023
255,29.524,31.718
255.5,29.436,31.396
256,29.376,31.116
256.5,29.238,30.855
257,29.076,30.611
257.5,28.859,30.41
258,28.632,30.268
258.5,28.395,30.225
259,28.167,30.226
259.5,28.029,30.23
260,27.949,30.231
260.5,27.937,30.261
261,28.051,30.281
261.5,28.083,30.274
262,28.163,30.183
262.5,28.228,30.087
263,28.249,30.027
263.5,28.191,30.015
264,28.091,30.001
264.5,27.933,30.054
265,27.838,30.054
265.5,27.807,30.111
266,27.841,30.131
266.5,27.842,30.136
267,27.914,30.132
267.5,27.984,30.172
268,28.08,30.23
268.5,28.146,30.3
269,28.162,30.299
269.5,28.068,30.438
270,28.11,30.498
270.5,28.227,30.601
271,28.217,30.671
271.5,28.259,30.705
272,28.254,30.733
272.5,28.367,30.707
273,28.515,30.689
273.5,28.596,30.74
274,28.627,30.724
274.5,28.622,30.774
275,28.647,30.807
275.5,28.631,30.863
276,28.617,30.911
276.5,28.563,30.973
277,28.473,31.041
277.5,28.548,31.052
278,28.601,31.084
278.5,28.568,31.119
279,28.591,31.071
279.5,28.617,31.042
280,28.649,31.012
280.5,28.617,30.965
281,28.561,30.936
281.5,28.347,31.009
282,28.149,31.008
282.5,28.045,30.931
283,27.906,30.802
283.5,27.753,30.639
284,27.619,30.467
284.5,27.529,30.272
285,27.449,30.052
285.5,27.373,29.839
286,27.239,29.687
286.5,27.132,29.571
287,26.967,29.414
287.5,26.847,29.214
288,26.628,29.016
288.5,26.398,28.817
289,26.094,28.576
289.5,25.859,28.283
290,25.582,28.023
290.5,25.38,27.759
291,25.129,27.574
291.5,24.993,27.387
292,24.717,27.181
292.5,24.46,26.93
293,24.151,26.756
293.5,23.905,26.53
294,23.615,26.31
294.5,23.476,26.056
295,23.243,25.819
295.5,23.084,25.572
296,22.978,25.421
296.5,22.937,25.288
297,22.789,25.112
297.5,22.622,24.945
298,22.45,24.858
298.5,22.309,24.736
299,22.158,24.651
299.5,22.038,24.521
300,21.841,24.335
300.5,21.769,24.14
301,21.733,24.059
301.5,21.706,23.976
302,21.579,23.884
302.5,21.49,23.792
303,21.41,23.717
303.5,21.339,23.611
304,21.238,23.56
304.5,21.119,23.497
305,21,23.364
305.5,20.966,23.274
306,20.939,23.233
306.5,20.914,23.164
307,20.812,23.101
307.5,20.77,23.035
308,20.706,22.946
308.5,20.606,22.866
309,20.49,22.835
309.5,20.461,22.691
310,20.343,22.579
310.5,20.275,22.484
311,20.275,22.347
311.5,20.22,22.266
312,20.189,22.149
312.5,20.117,22.128
313,20.025,22.123
313.5,19.945,22.148
314,19.913,22.136
314.5,19.883,22.034
315,19.758,21.981
315.5,19.633,21.906
316,19.546,21.806
316.5,19.509,21.731
317,19.594,21.614
317.5,19.475,21.537
318,19.412,21.465
318.5,19.417,21.429
319,19.401,21.326
319.5,19.299,21.225
320,19.163,21.208
320.5,19.034,21.169
321,18.929,21.146
321.5,18.896,21.086
322,18.818,21.001
322.5,18.603,20.905
323,18.536,20.834
323.5,18.521,20.778
324,18.392,20.681
324.5,18.33,20.601
325,18.27,20.597
325.5,18.229,20.436
326,18.246,20.304
326.5,18.235,20.163
327,18.119,20.033
327.5,17.974,19.952
328,17.875,19.925
328.5,17.828,19.915
329,17.704,19.911
329.5,17.613,19.861
330,17.463,19.827
330.5,17.424,19.69
331,17.564,19.573
331.5,17.573,19.425
332,17.468,19.314
332.5,17.378,19.233
333,17.27,19.164
333.5,17.266,19.094
334,17.158,19.028
334.5,16.989,18.954
335,16.824,18.938
335.5,16.856,18.879
336,16.901,18.835
336.5,16.897,18.715
337,16.849,18.612
337.5,16.792,18.563
338,16.759,18.436
338.5,16.732,18.332
339,16.628,18.258
339.5,16.449,18.237
340,16.352,18.195
340.5,16.298,18.142
341,16.24,18.089
341.5,16.177,17.983
342,16.074,17.853
342.5,15.96,17.747
343,15.875,17.611
343.5,15.717,17.523
344,15.666,17.482
344.5,15.498,17.44
345,15.44,17.443
345.5,15.394,17.459
346,15.325,17.403
346.5,15.274,17.367
347,15.261,17.258
347.5,15.281,17.157
348,15.302,17.087
348.5,15.278,16.998
349,15.364,16.939
349.5,15.308,16.893
350,15.284,16.867
350.5,15.176,16.846
351,14.991,16.776
351.5,14.88,16.735
352,14.737,16.652
352.5,14.62,16.576
353,14.534,16.495
353.5,14.384,16.415
354,14.352,16.372
354.5,14.309,16.301
355,14.308,16.232
355.5,14.222,16.182
356,14.236,16.082
356.5,14.235,16.02
357,14.198,15.942
357.5,14.196,15.881
358,14.17,15.895
358.5,14.073,15.941
359,14.105,15.971
359.5,14.047,15.953
360,13.984,15.931
360.5,13.888,15.884
361,13.813,15.829
361.5,13.745,15.739
362,13.773,15.605
362.5,13.775,15.502
363,13.755,15.446
363.5,13.757,15.44
364,13.843,15.404
364.5,13.768,15.405
365,13.718,15.391
365.5,13.606,15.322
366,13.472,15.286
366.5,13.485,15.113
367,13.468,14.997
367.5,13.319,14.94
368,13.261,14.876
368.5,13.253,14.836
369,13.312,14.839
369.5,13.287,14.927
370,13.219,14.904
370.5,13.164,14.823
371,13.137,14.807
371.5,13.167,14.664
372,13.105,14.555
372.5,12.948,14.524
373,12.853,14.433
373.5,12.79,14.389
374,12.718,14.389
374.5,12.677,14.387
375,12.619,14.314
375.5,12.582,14.267
376,12.605,14.235
376.5,12.665,14.193
377,12.682,14.175
377.5,12.636,14.216
378,12.546,14.246
378.5,12.493,14.293
379,12.414,14.272
379.5,12.427,14.209
380,12.352,14.055
380.5,12.255,13.937
381,12.255,13.831
381.5,12.26,13.739
382,12.214,13.686
382.5,12.219,13.64
383,12.2,13.64
383.5,12.192,13.651
384,12.136,13.66
384.5,12.099,13.685
385,12.002,13.658
385.5,11.949,13.645
386,11.978,13.608
386.5,11.956,13.543
387,11.896,13.437
387.5,11.913,13.341
388,11.896,13.253
388.5,11.84,13.221
389,11.799,13.212
389.5,11.775,13.239
390,11.773,13.257
390.5,11.781,13.271
391,11.748,13.274
391.5,11.628,13.242
392,11.566,13.158
392.5,11.51,13.061
393,11.42,12.949
393.5,11.383,12.915
394,11.41,12.92
394.5,11.473,12.915
395,11.513,12.944
395.5,11.484,12.947
396,11.406,12.961
396.5,11.404,12.891
397,11.379,12.8
397.5,11.279,12.719
398,11.202,12.67
398.5,11.171,12.678
399,11.14,12.723
399.5,11.155,12.753
400,11.097,12.811
400.5,11.05,12.81
401,11.068,12.773
401.5,11.142,12.659
402,11.141,12.521
402.5,11.079,12.447
403,11.077,12.373
403.5,11.043,12.362
404,10.988,12.389
404.5,10.944,12.435
405,10.877,12.506
405.5,10.831,12.535
406,10.816,12.537
406.5,10.811,12.535
407,10.758,12.466
407.5,10.72,12.379
408,10.748,12.29
408.5,10.745,12.256
409,10.726,12.193
409.5,10.713,12.156
410,10.738,12.125
410.5,10.68,12.128
411,10.594,12.088
411.5,10.524,12.025
412,10.479,11.929
412.5,10.45,11.845
413,10.47,11.803
413.5,10.488,11.801
414,10.479,11.765
414.5,10.554,11.771
415,10.583,11.771
415.5,10.481,11.771
416,10.485,11.688
416.5,10.444,11.63
417,10.455,11.593
417.5,10.413,11.612
418,10.421,11.644
418.5,10.436,11.673
419,10.443,11.706
419.5,10.464,11.685
420,10.376,11.677
420.5,10.295,11.662
421,10.315,11.651
421.5,10.251,11.677
422,10.203,11.685
422.5,10.162,11.732
423,10.135,11.758
423.5,10.093,11.747
424,10.071,11.744
424.5,10.075,11.706
425,10.048,11.691
425.5,10.048,11.675
426,10.074,11.682
426.5,10.076,11.629
427,10.053,11.6
427.5,10.071,11.537
428,10.055,11.469
428.5,9.956,11.42
429,9.948,11.373
429.5,9.918,11.34
430,9.91,11.272
430.5,9.863,11.238
431,9.82,11.203
431.5,9.799,11.116
432,9.815,11.1
432.5,9.863,11.061
433,9.88,11.04
433.5,9.881,11.068
434,9.906,11.095
434.5,9.913,11.109
435,9.942,11.101
435.5,9.906,11.137
436,9.781,11.166
436.5,9.773,11.165
437,9.732,11.201
437.5,9.685,11.24
438,9.667,11.231
438.5,9.628,11.229
439,9.576,11.215
439.5,9.583,11.199
440,9.563,11.169
440.5,9.547,11.123
441,9.488,11.082
441.5,9.429,11.053
442,9.394,11.064
442.5,9.365,11.078
443,9.345,11.079
443.5,9.364,11.062
444,9.36,10.998
444.5,9.382,10.953
445,9.365,10.879
445.5,9.443,10.779
446,9.429,10.733
446.5,9.347,10.705
447,9.343,10.72
447.5,9.327,10.744
448,9.29,10.796
448.5,9.307,10.85
449,9.297,10.841
449.5,9.26,10.842
450,9.213,10.815
450.5,9.243,10.799
451,9.195,10.783
451.5,9.146,10.703
452,9.167,10.655
452.5,9.181,10.652
453,9.212,10.612
453.5,9.26,10.62
454,9.316,10.635
454.5,9.284,10.658
455,9.286,10.64
455.5,9.294,10.636
456,9.232,10.652
456.5,9.213,10.624
457,9.2,10.606
457.5,9.198,10.628
458,9.187,10.62
458.5,9.172,10.639
459,9.136,10.692
459.5,9.074,10.68
460,9.054,10.609
460.5,9.041,10.567
461,8.981,10.535
461.5,8.991,10.488
462,9.015,10.444
462.5,9.008,10.43
463,8.965,10.397
463.5,8.957,10.386
464,8.906,10.409
464.5,8.869,10.391
465,8.923,10.355
465.5,8.954,10.305
466,8.905,10.295
466.5,8.908,10.319
467,8.886,10.383
467.5,8.822,10.431
468,8.777,10.468
468.5,8.775,10.526
469,8.761,10.521
469.5,8.773,10.468
470,8.829,10.396
470.5,8.817,10.297
471,8.753,10.208
471.5,8.72,10.108
472,8.689,10.063
472.5,8.646,10.026
473,8.601,10.022
473.5,8.577,10.025
474,8.579,9.966
474.5,8.612,9.933
475,8.645,9.934
475.5,8.646,9.94
476,8.61,9.931
476.5,8.598,9.934
477,8.628,9.934
477.5,8.599,9.956
478,8.542,9.973
478.5,8.51,9.994
479,8.525,9.968
479.5,8.581,9.928
480,8.554,9.902
480.5,8.521,9.894
481,8.528,9.886
481.5,8.538,9.915
482,8.603,9.938
482.5,8.637,10.001
483,8.626,10.049
483.5,8.65,10.047
484,8.678,10.016
484.5,8.733,9.935
485,8.682,9.853
485.5,8.655,9.805
486,8.67,9.781
486.5,8.689,9.774
487,8.696,9.777
487.5,8.639,9.83
488,8.562,9.875
488.5,8.479,9.897
489,8.459,9.923
489.5,8.444,9.918
490,8.395,9.873
490.5,8.324,9.844
491,8.298,9.804
491.5,8.311,9.779
492,8.26,9.764
492.5,8.173,9.759
493,8.134,9.738
493.5,8.138,9.693
494,8.223,9.656
494.5,8.242,9.651
495,8.281,9.631
495.5,8.295,9.613
496,8.31,9.6
496.5,8.292,9.629
497,8.206,9.647
497.5,8.117,9.627
498,8.121,9.594
498.5,8.192,9.488
499,8.227,9.425
499.5,8.206,9.42
500,8.178,9.42
500.5,8.106,9.447
501,8.076,9.47
501.5,8.026,9.532
502,7.933,9.537
502.5,7.888,9.558
503,7.868,9.586
